"","wl","rhw","rml","rew","rsl","rfl","rcl","ns_1","ns_2","diet_1","diet_2","diet_3","diet_4","rich","frich"
"PLAND",0,0,0,0,0.51886086814367,0,0.633905730257727,0,0,0,0,0,0,0.725613153591575,0
"LPI",-0.781542258173499,0.780167972364471,0.898207860357696,0,0,0,0.725161744319751,0,0,0,0,0,0,0,0
"ED",0,0,0,0,0.533158803961135,0,0,0,0,0,0,0,0,0.658643965377493,0
"ENN",0,0,0,0,-0.596383359515555,-0.53463544888351,0,0.541174076349583,-0.541174076349583,0,0,0,0,-0.75269213959172,0
"SHAPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMP",0,0,0,0,0,0,-0.643960529758326,0,0,0,0,0,0,-0.705443038744582,0
