"","t1","t2"
"VEGBIOM",0.89952827664449,0.120428759282181
"VEGHT",0.82636585673254,-0.0379579259802282
"BLAB",-0.679643045812826,-0.280983587837461
"COMPACT",-0.284181323656623,-0.499215708908456
"PLI",-0.41234017668194,0.628665909905703
